0000061478|000886309
0000730469|020813101
0000006201|02376R102
0000003197|125141101
0000725182|001907104
0000002601|007768104
0000859163|002444107
0000764622|723484101
0000706688|002535300
0000001800|002824100
0000001961|98159J101
0000001969|031095102
0000002034|004446100
0000319120|004527107
0000002062|004616207
0000002098|004816104
0000313798|005313200
0000002186|759525108
0000319489|007566102
0000002488|007903107
0000723527|552691107
0000109471|008015307
0001122304|00817Y108
0001004981|45169P106
0000002852|008662108
0000771667|008677106
0000002969|009158106
0000003000|009269101
0000003146|010284008
0000003153|010392009
0000098618|011612702
0000766421|011659109
0000313809|011750205
0000701288|049904105
0001368457|013078100
0000004285|013716105
0000003449|014476105
0000003453|57686G105
0000003499|014752109
0000354767|13916P209
0000708717|87509Q105
0000003545|016230104
0000775368|017175100
0000003662|867071102
0000003673|017361106
0000003721|018091108
0000003753|017753104
0000003941|019411107
0000773840|438516106
0000003982|019645506
0000065873|020039103
0000703598|806530101
0000004127|83088M102
0000004164|020825600
0000004165|04517Q100
0000741339|022092100
0000004281|013817101
0000004317|816918205
0000701345|90341W108
0000004515|023771009
0000004457|023586100
0000004611|024591406
0000789073|073730103
0000771497|000957100
0000004672|024763104
0001475922|74164M108
0000004828|025303108
0000742126|91732J102
0000004904|025537101
0000352281|56418U101
0000315428|03037B106
0000004962|025816109
0000004969|025818006
0000005009|026042101
0000005103|026351106
0000005133|026375105
0000005172|026522102
0000005187|983024100
0000005272|026874784
0000005405|027339209
0000724024|028882108
0000005657|029069101
0001102238|029174109
0000005768|029429107
0000713425|029683109
0000005907|001957505
0000005981|030371108
0000318819|030411102
0000790730|030710107
0000006071|030789507
0001037868|031100100
0000318154|031162100
0000731859|032015703
0000006207|032159105
0000003133|032165102
0000006281|032654105
0000006284|032657207
0000006292|032681207
0000006314|032744104
0000006383|61945R100
0000778808|228190104
0000006494|034393108
0000006571|034663104
0000821026|034164103
0001163739|G6359F103
0000006769|037411105
0000726435|037637105
0000311471|G0471F109
0000006845|037598109
0000006879|03799Y005
0000320193|037833100
0000006951|038222105
0000006955|00508X203
0000007039|038465100
0000007084|039483102
0000225051|039762109
0000007286|040555005
0000894405|040790107
0000007314|655419000
0000007383|042170100
0001109304|042384107
0000897265|29382L100
0000007623|043168103
0000007636|043339100
0000007649|043413103
0001305014|044209104
0000008146|04638F108
0000008063|046433108
0000007974|046008108
0001004155|001204106
0000806393|048903108
0000775483|048825103
0000008302|049371107
0000008411|050095108
0000744187|761624105
0000769397|052769106
0000201653|252529102
0000008670|053015103
0000718007|24734R103
0000039677|00234P102
0000008802|053555108
0000008818|053611109
0000701650|05366B102
0000008858|053807103
0000008868|054303102
0000014846|055645303
0000320174|055662100
0000009092|056525108
0000009263|057149106
0000808362|057224107
0000009326|057665200
0000009346|057755209
0000009389|058498106
0000009435|05873C106
0001004440|210371100
0000763901|733174700
0000046195|062540109
0000009548|060077005
0001390777|064058100
0001011174|05564E106
0000009749|066365107
0000009779|303698104
0000009892|067383109
0000010012|068055102
0000010048|068221100
0000010119|068509603
0000754128|068659309
0000749872|068798107
0000010242|069779304
0000010254|27032D205
0000010329|070203104
0000010456|071813109
0000010497|072723109
0000109563|03820C105
0000010795|075887109
0000772263|65476M109
0000729580|077347300
0000011027|143093102
0000732712|92343V104
0000732713|079860102
0000356080|080555105
0000008960|081721102
0000935226|082047101
0000011454|083739102
0001067983|084670702
0000764478|086516101
0000011860|087509105
0000011884|087779104
0000870756|635812209
0000012180|79587E104
0000722104|80517Q100
0000714655|090597105
0000355007|090909102
0000723889|595074105
0001130464|092113109
0000012570|529529109
0000012659|093671105
0000314808|G3157S106
0000040454|096650106
0000033769|096761101
0000012927|097023105
0000012978|67622P101
0000315213|770323103
0000013239|60899Z001
0001035675|67019E107
0001393066|76117W109
0000013606|963801105
0000746598|104674106
0000014073|107336109
0000014177|108763103
0000014195|109043109
0000014280|553570102
0000014272|110122108
0000014693|115637209
0000014707|115736100
0000014803|115660201
0000014827|115885105
0000014920|116881202
0000014930|117043109
0000715583|466078102
0001104657|576690101
0000351220|055412100
0000726617|120084108
0000015310|120457106
0000015486|34960D108
0000718916|121579932
0000934612|08499Z004
0000015615|576323109
0000746838|909214306
0000015840|123655102
0000015847|123720104
0001003429|761312107
0000018366|124845108
0000733269|005125109
0000350621|125010108
0000018396|125071100
0000701221|125509109
0000020388|125577106
0000025354|125902106
0000021175|126117100
0000277948|126408103
0000026058|126501105
0000320121|87969B937
0000766792|126601103
0001018871|42222L107
0000016040|127055101
0000350199|127150308
0000016058|127190304
0000356211|127382109
0000745274|127587103
0000016104|127703106
0000949058|128026101
0000730255|128126109
0000726512|808905103
0001011659|90899R006
0000016357|00650M104
0001035201|130788102
0000016496|131352106
0000704292|03839F107
0000016732|134429109
0000016804|135231108
0000016873|65334H102
0000016918|21036P108
0000017109|139859102
0001035713|74406A102
0000356622|073098204
0000721371|14149Y108
0000790051|142339100
0000706166|98155F103
0001094093|26499B009
0000750217|111572103
0000726958|147528103
0000018172|148411101
0000018169|256603101
0000018230|149123101
0000018255|149205106
0000745651|00752H102
0000018497|151310406
0000018532|152312104
0000708823|152342101
0000018540|152357109
0000276235|153469101
0001061393|12541M102
0001089819|12561W105
0000018734|025537002
0000018808|155771108
